Price,Close,Volume,Rolling_30,Daily_Return
2019-01-01,3843.52001953125,4324200990,,
2019-01-02,3943.409423828125,5244856836,,0.025989042281366226
2019-01-03,3836.7412109375,4530215219,,-0.02704974336321264
2019-01-04,3857.717529296875,4847965467,,0.005467222626216461
2019-01-05,3845.194580078125,5137609824,,-0.003246206888826486
2019-01-06,4076.632568359375,5597027440,,0.06018888861446059
2019-01-07,4025.248291015625,5228625637,,-0.01260458883210791
2019-01-08,4030.847900390625,5306593305,,0.0013911214837352137
2019-01-09,4035.29638671875,5115905225,,0.0011036105648376537
2019-01-10,3678.924560546875,6874143796,,-0.08831366819666353
2019-01-11,3687.365478515625,5538712865,,0.0022943982214995717
2019-01-12,3661.301025390625,4778170883,,-0.007068584135981104
2019-01-13,3552.953125,4681302466,,-0.029592732102399433
2019-01-14,3706.05224609375,5651384490,,0.04309066731460187
2019-01-15,3630.67529296875,5537192302,,-0.020338880328643172
2019-01-16,3655.0068359375,5394457145,,0.006701657682214313
2019-01-17,3678.56396484375,5464420383,,0.006445166852939055
2019-01-18,3657.83935546875,5002961727,,-0.005633885824214646
2019-01-19,3728.568359375,5955691380,,0.019336279435154813
2019-01-20,3601.013671875,5582489560,,-0.034210097604695955
2019-01-21,3576.032470703125,5004347059,,-0.006937269182559769
2019-01-22,3604.5771484375,5313623556,,0.007982219951364833
2019-01-23,3585.123046875,5433755649,,-0.005397055122244532
2019-01-24,3600.865478515625,5262869046,,0.00439104360848841
2019-01-25,3599.765869140625,5265847539,,-0.0003053736335224544
2019-01-26,3602.46044921875,5098183235,,0.0007485431486600191
2019-01-27,3583.9658203125,5570752966,,-0.005133888120898322
2019-01-28,3470.450439453125,6908930483,,-0.03167312037855241
2019-01-29,3448.116943359375,5897159493,,-0.006435330653293936
2019-01-30,3486.181640625,5955112627,3709.68037109375,0.01103927096757329
2019-01-31,3457.792724609375,5831198271,3696.822794596354,-0.008143269325041613
2019-02-01,3487.9453125,5422926707,3681.640657552083,0.008720183739189036
2019-02-02,3521.060791015625,5071623601,3671.1179768880206,0.009494265405179059
2019-02-03,3464.013427734375,5043937584,3657.9945068359375,-0.01620175471744556
2019-02-04,3459.154052734375,5332718886,3645.1264892578124,-0.0014028164443861124
2019-02-05,3466.357421875,5227549545,3624.783984375,0.0020824077305636735
2019-02-06,3413.767822265625,5482196038,3604.401302083333,-0.015171430181290635
2019-02-07,3399.4716796875,5004962683,3583.355428059896,-0.004187789950119369
2019-02-08,3666.7802734375,7735623101,3571.0715576171874,0.07863239318839477
2019-02-09,3671.20361328125,6158833645,3570.8141927083334,0.0012063280354683847
2019-02-10,3690.188232421875,6282256903,3570.9082845052085,0.005171224791767015
2019-02-11,3648.4306640625,6277056434,3570.4792724609374,-0.011315836951756086
2019-02-12,3653.528564453125,6480384532,3573.831787109375,0.0013972858086190865
2019-02-13,3632.070556640625,6438903823,3571.365730794271,-0.005873228423961097
2019-02-14,3616.880859375,6271044418,3570.9059163411457,-0.004182104127314679
2019-02-15,3620.810791015625,6091952231,3569.766048177083,0.0010865526937218206
2019-02-16,3629.78759765625,5934744052,3568.140169270833,0.00247922555437019
2019-02-17,3673.836181640625,7039512503,3568.6733968098956,0.01213530621263259
2019-02-18,3915.71435546875,9908216640,3574.9115966796876,0.06583804009467542
2019-02-19,3947.094482421875,9933626655,3586.4476236979167,0.008013895832135631
2019-02-20,3999.820556640625,8693373948,3600.5738932291665,0.013358199164869689
2019-02-21,3954.1181640625,7775128102,3612.2252604166665,-0.011426110729454764
2019-02-22,4005.526611328125,7826525254,3626.2387125651044,0.013001242029855531
2019-02-23,4142.52685546875,8922258316,3644.294091796875,0.03420280463327119
